target,h,model,n,rmspe,baseline_rmspe,relative_rmspe
CPIAUCSL,1,Baseline ARD/RW,43,0.005124426526722608,0.005124426526722608,1.0
CPIAUCSL,1,XGBoost - DI,43,0.005167599770073156,0.005124426526722608,1.0084249902160582
CPIAUCSL,1,AdaBoost - DI,43,0.005183522420816209,0.005124426526722608,1.0115321965853994
CPIAUCSL,1,Gradient Boost - DI,43,0.005312535510255937,0.005124426526722608,1.0367082994657817
CPIAUCSL,1,Random Forest - DI,43,0.005397104768089325,0.005124426526722608,1.0532114647258122
CPIAUCSL,3,AdaBoost - DI,41,0.012630002945639736,0.013138127377037203,0.9613244401720776
CPIAUCSL,3,XGBoost - DI,41,0.012953844831956291,0.013138127377037203,0.9859734542227836
CPIAUCSL,3,Random Forest - DI,41,0.013119650954188388,0.013138127377037203,0.9985936791204272
CPIAUCSL,3,Gradient Boost - DI,41,0.013124966757284726,0.013138127377037203,0.9989982880075071
CPIAUCSL,3,Baseline ARD/RW,41,0.013138127377037203,0.013138127377037203,1.0
CPIAUCSL,6,AdaBoost - DI,38,0.019106609704998945,0.020715093414685026,0.9223520899719516
CPIAUCSL,6,XGBoost - DI,38,0.019419815058733934,0.020715093414685026,0.9374717588754458
CPIAUCSL,6,Gradient Boost - DI,38,0.019816696870397325,0.020715093414685026,0.956630823414447
CPIAUCSL,6,Random Forest - DI,38,0.020648476672753498,0.020715093414685026,0.9967841447490503
CPIAUCSL,6,Baseline ARD/RW,38,0.020715093414685026,0.020715093414685026,1.0
CPIAUCSL,12,AdaBoost - DI,36,0.021788421971232572,0.026504076653236258,0.8220781374993539
CPIAUCSL,12,XGBoost - DI,36,0.022649815579381956,0.026504076653236258,0.8545785569412138
CPIAUCSL,12,Gradient Boost - DI,36,0.02302956872533221,0.026504076653236258,0.8689066601578895
CPIAUCSL,12,Random Forest - DI,36,0.024760496657484702,0.026504076653236258,0.934214648615625
CPIAUCSL,12,Baseline ARD/RW,36,0.026504076653236258,0.026504076653236258,1.0
INDPRO,1,Baseline ARD/RW,43,0.02322712330053149,0.02322712330053149,1.0
INDPRO,1,Gradient Boost - DI,43,0.023475551756929808,0.02322712330053149,1.010695618789462
INDPRO,1,XGBoost - DI,43,0.023685238803637522,0.02322712330053149,1.0197232992298941
INDPRO,1,AdaBoost - DI,43,0.024032560076168642,0.02322712330053149,1.0346765617599627
INDPRO,1,Random Forest - DI,43,0.024260430877867455,0.02322712330053149,1.0444871094868782
INDPRO,3,Baseline ARD/RW,41,0.03680364577260892,0.03680364577260892,1.0
INDPRO,3,Random Forest - DI,41,0.039925504515926774,0.03680364577260892,1.0848247144482979
INDPRO,3,XGBoost - DI,41,0.04055975683101266,0.03680364577260892,1.102058124393731
INDPRO,3,Gradient Boost - DI,41,0.04165328396347517,0.03680364577260892,1.1317705919905248
INDPRO,3,AdaBoost - DI,41,0.04187908830022997,0.03680364577260892,1.1379059715708504
INDPRO,6,Baseline ARD/RW,38,0.059121578606737044,0.059121578606737044,1.0
INDPRO,6,Random Forest - DI,38,0.06418868193456302,0.059121578606737044,1.0857064957877929
INDPRO,6,XGBoost - DI,38,0.0653674752906912,0.059121578606737044,1.1056449579179948
INDPRO,6,Gradient Boost - DI,38,0.06722733613045347,0.059121578606737044,1.137103198438493
INDPRO,6,AdaBoost - DI,38,0.06939377893583132,0.059121578606737044,1.1737470576931404
INDPRO,12,Random Forest - DI,36,0.09631917368786948,0.09814086464971424,0.9814379976338423
INDPRO,12,XGBoost - DI,36,0.09673144326791511,0.09814086464971424,0.9856387918852187
INDPRO,12,Baseline ARD/RW,36,0.09814086464971424,0.09814086464971424,1.0
INDPRO,12,Gradient Boost - DI,36,0.10016331836883755,0.09814086464971424,1.020607661511256
INDPRO,12,AdaBoost - DI,36,0.10540840894099202,0.09814086464971424,1.0740521730394081
PAYEMS,1,Baseline ARD/RW,43,0.022181908886670886,0.022181908886670886,1.0
PAYEMS,1,Gradient Boost - DI,43,0.022266819604890558,0.022181908886670886,1.003827926561843
PAYEMS,1,AdaBoost - DI,43,0.022281298556894126,0.022181908886670886,1.0044806635322068
PAYEMS,1,XGBoost - DI,43,0.022304414227762866,0.022181908886670886,1.0055227591871316
PAYEMS,1,Random Forest - DI,43,0.022489136979954985,0.022181908886670886,1.0138503901920142
PAYEMS,3,Baseline ARD/RW,41,0.025130005692226225,0.025130005692226225,1.0
PAYEMS,3,XGBoost - DI,41,0.02547116128310055,0.025130005692226225,1.0135756272820844
PAYEMS,3,AdaBoost - DI,41,0.025508769876466098,0.025130005692226225,1.0150721885573246
PAYEMS,3,Gradient Boost - DI,41,0.02557266478741376,0.025130005692226225,1.0176147630290617
PAYEMS,3,Random Forest - DI,41,0.025850498571167783,0.025130005692226225,1.028670621398404
PAYEMS,6,Baseline ARD/RW,38,0.028778978335945393,0.028778978335945393,1.0
PAYEMS,6,XGBoost - DI,38,0.02978008025124348,0.028778978335945393,1.0347858740366642
PAYEMS,6,Gradient Boost - DI,38,0.030027004569337223,0.028778978335945393,1.0433658978030163
PAYEMS,6,AdaBoost - DI,38,0.03021010775932385,0.028778978335945393,1.0497282914866701
PAYEMS,6,Random Forest - DI,38,0.030855357705982456,0.028778978335945393,1.0721491689454323
PAYEMS,12,XGBoost - DI,36,0.03680830615270068,0.038958948499432336,0.9447972178519398
PAYEMS,12,Random Forest - DI,36,0.03777974140288426,0.038958948499432336,0.9697320604901526
PAYEMS,12,Gradient Boost - DI,36,0.03833946070890575,0.038958948499432336,0.9840989602033122
PAYEMS,12,Baseline ARD/RW,36,0.038958948499432336,0.038958948499432336,1.0
PAYEMS,12,AdaBoost - DI,36,0.0392697995266215,0.038958948499432336,1.0079789378092094
S&P 500,1,Baseline ARD/RW,43,0.07211052994878803,0.07211052994878803,1.0
S&P 500,1,AdaBoost - DI,43,0.07224510766780333,0.07211052994878803,1.0018662700039909
S&P 500,1,Gradient Boost - DI,43,0.07445792576936647,0.07211052994878803,1.0325527467659097
S&P 500,1,XGBoost - DI,43,0.07461977898728167,0.07211052994878803,1.0347972624840738
S&P 500,1,Random Forest - DI,43,0.07466682201951345,0.07211052994878803,1.03544963644756
S&P 500,3,Baseline ARD/RW,41,0.1391583171061636,0.1391583171061636,1.0
S&P 500,3,Random Forest - DI,41,0.15122402562864973,0.1391583171061636,1.0867049039784034
S&P 500,3,AdaBoost - DI,41,0.152455801591304,0.1391583171061636,1.095556519808987
S&P 500,3,Gradient Boost - DI,41,0.1560805124666088,0.1391583171061636,1.121603909218989
S&P 500,3,XGBoost - DI,41,0.15721278703160366,0.1391583171061636,1.1297405020475084
S&P 500,6,Baseline ARD/RW,38,0.19418479895338497,0.19418479895338497,1.0
S&P 500,6,AdaBoost - DI,38,0.2320007640039495,0.19418479895338497,1.1947421489961345
S&P 500,6,Random Forest - DI,38,0.232949810028126,0.19418479895338497,1.1996294832740577
S&P 500,6,Gradient Boost - DI,38,0.238541223864468,0.19418479895338497,1.228423775445631
S&P 500,6,XGBoost - DI,38,0.23983172594909533,0.19418479895338497,1.2350695174995037
S&P 500,12,Baseline ARD/RW,36,0.2731125870225189,0.2731125870225189,1.0
S&P 500,12,Gradient Boost - DI,36,0.3337422302557324,0.2731125870225189,1.2219950530079906
S&P 500,12,Random Forest - DI,36,0.335428307428017,0.2731125870225189,1.228168613848471
S&P 500,12,XGBoost - DI,36,0.3448318198815266,0.2731125870225189,1.2625995148773361
S&P 500,12,AdaBoost - DI,36,0.34925676367886743,0.2731125870225189,1.2788014184423886
