target,horizon,model,rmse,mae,mase,n_predictions
UNRATE,1,ARD(6),0.5490654767269505,0.16217747448993428,1.255697511383017,516
UNRATE,1,Naive / Random Walk,0.5109081441736331,0.15329457364341084,1.1850434696371066,516
UNRATE,1,AdaBoost,0.6241015243095079,0.2921982125208205,2.224755421360381,516
UNRATE,1,Random Forest,0.899486795418316,0.4497552967327677,3.4682284479472947,516
UNRATE,1,AdaBoost-DI,1.0897840463087665,0.8014167954389446,6.1672144853015025,516
UNRATE,1,kNN-DI,1.8010814380175153,1.2421303793466096,9.438119406615591,516
UNRATE,1,SVR linear-DI,0.6849857614286777,0.30612566449705186,2.3487269166095928,516
UNRATE,1,XGBoost-DI,0.9242445430966634,0.5921311144680941,4.5517768257110225,516
UNRATE,3,ARD(6),1.0085038654940908,0.3135528455223641,2.4398224186983737,516
UNRATE,3,Naive / Random Walk,0.8646256527421824,0.3125968992248062,2.4239001579714263,516
UNRATE,3,AdaBoost,0.8982453670320862,0.4321783409148018,3.3093230026928326,516
UNRATE,3,Random Forest,1.020922097232613,0.5544853256494149,4.284835749996551,516
UNRATE,3,AdaBoost-DI,1.2062780868646974,0.8832651612482221,6.820986517302767,516
UNRATE,3,kNN-DI,1.8583015550710307,1.2673282684668432,9.64174212959977,516
UNRATE,3,SVR linear-DI,0.8638488140846353,0.3806115526195595,2.9204041342352896,516
UNRATE,3,XGBoost-DI,1.058309024960536,0.6847726133442665,5.279675926277641,516
UNRATE,6,ARD(6),1.398178198749306,0.4860047051626707,3.7736963603191387,516
UNRATE,6,Naive / Random Walk,1.1281630812894454,0.5189922480620155,4.019507996969753,516
UNRATE,6,AdaBoost,1.1405089283284282,0.6775611040077869,5.223123127728563,516
UNRATE,6,Random Forest,1.1634973431842328,0.715469739385608,5.542823105512422,516
UNRATE,6,AdaBoost-DI,1.3236336974511795,0.9692623526030337,7.504439090712895,516
UNRATE,6,kNN-DI,1.8717770850771196,1.2872225399193358,9.834871981010014,516
UNRATE,6,SVR linear-DI,1.0444209281565713,0.5130682751419013,3.9384884065046935,516
UNRATE,6,XGBoost-DI,1.1944415953038154,0.7922465583150701,6.135591477911399,516
