target,h,model,n,mae,mase
UNRATE_level,1,Naive / Random Walk,516,0.15329457364341084,1.1850434696371066
UNRATE_level,1,ARD(6),516,0.16217747448993428,1.255697511383017
UNRATE_level,1,AdaBoost,516,0.2921982125208205,2.224755421360381
UNRATE_level,1,SVR linear-DI,516,0.30612566449705186,2.3487269166095928
UNRATE_level,1,Random Forest,516,0.44975529673276765,3.4682284479472956
UNRATE_level,1,XGBoost-DI,516,0.5921311144680941,4.5517768257110225
UNRATE_level,1,AdaBoost-DI,516,0.8014167954389446,6.1672144853015025
UNRATE_level,1,kNN-DI,516,1.2421303793466096,9.438119406615591
UNRATE_level,3,Naive / Random Walk,516,0.3125968992248062,2.4239001579714263
UNRATE_level,3,ARD(6),516,0.3135528455223641,2.4398224186983737
UNRATE_level,3,SVR linear-DI,516,0.3806115526195595,2.9204041342352896
UNRATE_level,3,AdaBoost,516,0.4321783409148018,3.3093230026928326
UNRATE_level,3,Random Forest,516,0.5544853256494149,4.284835749996551
UNRATE_level,3,XGBoost-DI,516,0.6847726133442665,5.279675926277641
UNRATE_level,3,AdaBoost-DI,516,0.8832651612482221,6.820986517302767
UNRATE_level,3,kNN-DI,516,1.2673282684668432,9.64174212959977
UNRATE_level,6,ARD(6),516,0.4860047051626707,3.7736963603191387
UNRATE_level,6,SVR linear-DI,516,0.5130682751419013,3.9384884065046935
UNRATE_level,6,Naive / Random Walk,516,0.5189922480620155,4.019507996969753
UNRATE_level,6,AdaBoost,516,0.6775611040077869,5.223123127728563
UNRATE_level,6,Random Forest,516,0.7154697393856081,5.542823105512424
UNRATE_level,6,XGBoost-DI,516,0.7922465583150701,6.135591477911399
UNRATE_level,6,AdaBoost-DI,516,0.9692623526030337,7.504439090712895
UNRATE_level,6,kNN-DI,516,1.2872225399193358,9.834871981010014
